	+-------------------------+-------------+-----------+--------------------+--------+-----------+-----------+-----------+------------+-----------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------+
| Column Name (Total=109) |     Type    |    Mean   | Standard Deviation |  Min   |    25%    |    50%    |    75%    |    Max     |                                                                                                                           Value Counts                                                                                                                          |
+-------------------------+-------------+-----------+--------------------+--------+-----------+-----------+-----------+------------+-----------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------+
|        ACTIV_LIM        | Categorical |           |                    |        |           |           |           |            |                                                                                           {-8: '42 (0.28%)', -7: '4 (0.03%)', 1: '1620 (10.80%)', 2: '13334 (88.89%)'}                                                                                          |
|        ADHD_DIAG        | Categorical |           |                    |        |           |           |           |            |                                                                                            {-9: '2 (0.01%)', -1: '14591 (97.27%)', 1: '41 (0.27%)', 2: '366 (2.44%)'}                                                                                           |
|      ADV_BOOST_SEAT     | Categorical |           |                    |        |           |           |           |            |                                                                                                              {-1: '14999 (99.99%)', 1: '1 (0.01%)'}                                                                                                             |
|       ADV_DNTL_CKP      | Categorical |           |                    |        |           |           |           |            |                                                                           {-9: '1 (0.01%)', -8: '4 (0.03%)', -7: '1 (0.01%)', -1: '14858 (99.05%)', 1: '75 (0.50%)', 2: '61 (0.41%)'}                                                                           |
|      ADV_EAT_HLTHY      | Categorical |           |                    |        |           |           |           |            |                                                                                    {-9: '1 (0.01%)', -8: '3 (0.02%)', -1: '14858 (99.05%)', 1: '83 (0.55%)', 2: '55 (0.37%)'}                                                                                   |
|    ADV_EXERCISE_MORE    | Categorical |           |                    |        |           |           |           |            |                                                                                          {-8: '402 (2.68%)', -7: '13 (0.09%)', 1: '6287 (41.91%)', 2: '8298 (55.32%)'}                                                                                          |
|       ADV_LAP_BLT       | Categorical |           |                    |        |           |           |           |            |                                                                                    {-9: '1 (0.01%)', -8: '4 (0.03%)', -1: '14859 (99.06%)', 1: '55 (0.37%)', 2: '81 (0.54%)'}                                                                                   |
|     ADV_NO_FAT_FOOD     | Categorical |           |                    |        |           |           |           |            |                                                                                          {-8: '439 (2.93%)', -7: '15 (0.10%)', 1: '5174 (34.49%)', 2: '9372 (62.48%)'}                                                                                          |
|       ADV_NO_SMKG       | Categorical |           |                    |        |           |           |           |            |                                                                                 {-9: '252 (1.68%)', -1: '12849 (85.66%)', 1: '978 (6.52%)', 2: '559 (3.73%)', 3: '362 (2.41%)'}                                                                                 |
|      AGE_DIAG_ADHD      | Categorical |           |                    |        |           |           |           |            | {-8: '1 (0.01%)', -1: '14959 (99.73%)', 5: '6 (0.04%)', 6: '3 (0.02%)', 7: '5 (0.03%)', 8: '4 (0.03%)', 9: '4 (0.03%)', 10: '3 (0.02%)', 11: '4 (0.03%)', 12: '2 (0.01%)', 13: '1 (0.01%)', 14: '2 (0.01%)', 15: '3 (0.02%)', 16: '1 (0.01%)', 17: '2 (0.01%)'} |
|       ANGINA_DIAG       | Categorical |           |                    |        |           |           |           |            |                                                                                            {-8: '8 (0.05%)', -7: '1 (0.01%)', 1: '327 (2.18%)', 2: '14664 (97.76%)'}                                                                                            |
