	+-------------------------+-------------+-----------+--------------------+--------+-----------+-----------+-----------+------------+----------------------------------------------+
| Column Name (Total=109) |     Type    |    Mean   | Standard Deviation |  Min   |    25%    |    50%    |    75%    |    Max     |                 Value Counts                 |
+-------------------------+-------------+-----------+--------------------+--------+-----------+-----------+-----------+------------+----------------------------------------------+
|        RACE_White       | Categorical |           |                    |        |           |           |           |            | {0.0: '8754 (58.36%)', 1.0: '6246 (41.64%)'} |
|       UTILIZATION       | Categorical |           |                    |        |           |           |           |            |  {0: '3212 (21.41%)', 1: '11788 (78.59%)'}   |
|        ACTIV_LIM        |  Numerical  |   1.862   |       0.625        | -8.000 |   2.000   |   2.000   |   2.000   |   2.000    |                                              |
|        ADHD_DIAG        |  Numerical  |   -0.922  |       0.483        | -9.000 |   -1.000  |   -1.000  |   -1.000  |   2.000    |                                              |
|      ADV_BOOST_SEAT     |  Numerical  |   -1.000  |       0.016        | -1.000 |   -1.000  |   -1.000  |   -1.000  |   1.000    |                                              |
|       ADV_DNTL_CKP      |  Numerical  |   -0.981  |       0.276        | -9.000 |   -1.000  |   -1.000  |   -1.000  |   2.000    |                                              |
|      ADV_EAT_HLTHY      |  Numerical  |   -0.980  |       0.262        | -9.000 |   -1.000  |   -1.000  |   -1.000  |   2.000    |                                              |
|    ADV_EXERCISE_MORE    |  Numerical  |   1.305   |       1.639        | -8.000 |   1.000   |   2.000   |   2.000   |   2.000    |                                              |
|       ADV_LAP_BLT       |  Numerical  |   -0.979  |       0.283        | -9.000 |   -1.000  |   -1.000  |   -1.000  |   2.000    |                                              |
|     ADV_NO_FAT_FOOD     |  Numerical  |   1.353   |       1.713        | -8.000 |   1.000   |   2.000   |   2.000   |   2.000    |                                              |
|       ADV_NO_SMKG       |  Numerical  |   -0.796  |       1.420        | -9.000 |   -1.000  |   -1.000  |   -1.000  |   3.000    |                                              |
|           AGE           |  Numerical  |   45.898  |       17.843       | 18.000 |   31.000  |   45.000  |   59.000  |   85.000   |                                              |
|      AGE_DIAG_ADHD      |  Numerical  |   -0.972  |       0.582        | -8.000 |   -1.000  |   -1.000  |   -1.000  |   17.000   |                                              |
|       ANGINA_DIAG       |  Numerical  |   1.972   |       0.282        | -8.000 |   2.000   |   2.000   |   2.000   |   2.000    |                                              |
|     APPT_REG_MEDCARE    |  Numerical  |   0.644   |       2.187        | -9.000 |   1.000   |   1.000   |   2.000   |   2.000    |                                              |
|        ARTHR_DIAG       |  Numerical  |   1.749   |       0.491        | -8.000 |   2.000   |   2.000   |   2.000   |   2.000    |                                              |
|        ARTHR_TYPE       |  Numerical  |   -0.186  |       1.479        | -7.000 |   -1.000  |   -1.000  |   -1.000  |   3.000    |                                              |
|        ASPRN_REG        |  Numerical  |   1.727   |       1.069        | -8.000 |   2.000   |   2.000   |   2.000   |   2.000    |                                              |
|        ASTHM_DIAG       |  Numerical  |   1.903   |       0.323        | -8.000 |   2.000   |   2.000   |   2.000   |   2.000    |                                              |
|          BLIND          |  Numerical  |   -0.902  |       0.530        | -1.000 |   -1.000  |   -1.000  |   -1.000  |   2.000    |                                              |
|          BM_IDX         |  Numerical  |   28.266  |       6.715        | 10.400 |   23.700  |   27.300  |   31.600  |  162.700   |                                              |
|       CANCER_DIAG       |  Numerical  |   1.909   |       0.338        | -9.000 |   2.000   |   2.000   |   2.000   |   2.000    |                                              |
|        CHILD_SUPP       |  Numerical  |  149.295  |      1323.106      | 0.000  |   0.000   |   0.000   |   0.000   | 39208.000  |                                              |
|       CHRON_BRONCH      |  Numerical  |   1.960   |       0.468        | -8.000 |   2.000   |   2.000   |   2.000   |   2.000    |                                              |
|        COGNTV_LIM       |  Numerical  |   1.914   |       0.565        | -8.000 |   2.000   |   2.000   |   2.000   |   2.000    |                                              |
|       COR_HRT_DIAG      |  Numerical  |   1.947   |       0.312        | -8.000 |   2.000   |   2.000   |   2.000   |   2.000    |                                              |
|   DAYS_CAREOTHR_NOWORK  |  Numerical  |   -0.546  |       2.342        | -9.000 |   -1.000  |   -1.000  |   -1.000  |   15.000   |                                              |
|     DAYS_ILL_NOSCHL     |  Numerical  |   -1.103  |       1.641        | -9.000 |   -1.000  |   -1.000  |   -1.000  |   14.000   |                                              |
|     DAYS_ILL_NOWORK     |  Numerical  |   0.421   |       8.365        | -9.000 |   -1.000  |   0.000   |   1.000   |   60.000   |                                              |
|           DEAF          |  Numerical  |   -0.862  |       0.623        | -1.000 |   -1.000  |   -1.000  |   -1.000  |   2.000    |                                              |
|     DELAY_PRESCR_MED    |  Numerical  |   1.918   |       0.595        | -9.000 |   2.000   |   2.000   |   2.000   |   2.000    |                                              |
|        DIAB_DIAG        |  Numerical  |   1.890   |       0.348        | -8.000 |   2.000   |   2.000   |   2.000   |   2.000    |                                              |
|        DIAB_INSLN       |  Numerical  |   -0.777  |       0.807        | -9.000 |   -1.000  |   -1.000  |   -1.000  |   2.000    |                                              |
|        DIAB_KIDNY       |  Numerical  |   -0.768  |       0.870        | -9.000 |   -1.000  |   -1.000  |   -1.000  |   2.000    |                                              |
|         DIAB_MED        |  Numerical  |   -0.820  |       0.663        | -9.000 |   -1.000  |   -1.000  |   -1.000  |   2.000    |                                              |
|       DIFFIC_HEAR       |  Numerical  |   1.925   |       0.385        | -9.000 |   2.000   |   2.000   |   2.000   |   2.000    |                                              |
|        DIFFIC_SEE       |  Numerical  |   1.939   |       0.360        | -9.000 |   2.000   |   2.000   |   2.000   |   2.000    |                                              |
|      DIFF_ERRND_ALN     |  Numerical  |   1.913   |       0.418        | -9.000 |   2.000   |   2.000   |   2.000   |   2.000    |                                              |
|       DISPSN_STAT       |  Numerical  |   11.548  |       3.969        | 11.000 |   11.000  |   11.000  |   11.000  |   44.000   |                                              |
|        DOC_CK_BP        |  Numerical  |   0.620   |       1.687        | -9.000 |   1.000   |   1.000   |   1.000   |   2.000    |                                              |
|       DOC_TIM_ALN       |  Numerical  |   -0.978  |       0.287        | -9.000 |   -1.000  |   -1.000  |   -1.000  |   2.000    |                                              |
|         EDU_DEG         |  Numerical  |   1.214   |       2.537        | -9.000 |   -1.000  |   1.000   |   3.000   |   7.000    |                                              |
|         EDU_YRS         |  Numerical  |   6.351   |       7.294        | -9.000 |   -1.000  |   8.000   |   13.000  |   17.000   |                                              |
|       EMPHYM_DIAG       |  Numerical  |   1.979   |       0.208        | -8.000 |   2.000   |   2.000   |   2.000   |   2.000    |                                              |
|         EMPLYMT         |  Numerical  |   2.091   |       1.472        | -9.000 |   1.000   |   1.000   |   4.000   |   4.000    |                                              |
|        EMPLYR_INS       |  Numerical  |   -0.799  |       3.013        | -9.000 |   -1.000  |   -1.000  |   1.000   |   2.000    |                                              |
|        FAM_INCOME       |  Numerical  | 64508.071 |     60018.231      | 0.000  | 22988.000 | 48000.000 | 86912.750 | 521685.000 |                                              |
|        FEEL_DEPRS       |  Numerical  |   3.370   |       2.350        | -9.000 |   3.000   |   4.000   |   5.000   |   5.000    |                                              |
|     FOOD_STMP_MNTHS     |  Numerical  |   0.850   |       4.422        | -9.000 |   -1.000  |   -1.000  |   -1.000  |   12.000   |                                              |
|      FOOD_STMP_VAL      |  Numerical  |   42.917  |      136.319       | -8.000 |   -1.000  |   -1.000  |   -1.000  |  4500.000  |                                              |
|      FREQ_DNTL_CKP      |  Numerical  |   2.112   |       1.615        | -8.000 |   1.000   |   2.000   |   3.000   |   4.000    |                                              |
|       HEALTH_STAT       |  Numerical  |   2.378   |       1.112        | -8.000 |   2.000   |   2.000   |   3.000   |   5.000    |                                              |
|         HEAR_AID        |  Numerical  |   1.949   |       0.332        | -9.000 |   2.000   |   2.000   |   2.000   |   2.000    |                                              |
|      HIGHCHOL_DIAG      |  Numerical  |   1.698   |       0.547        | -8.000 |   1.000   |   2.000   |   2.000   |   2.000    |                                              |
|       HIGH_BP_DIAG      |  Numerical  |   1.661   |       0.548        | -8.000 |   1.000   |   2.000   |   2.000   |   2.000    |                                              |
|      HON_DISCHARGE      |  Numerical  |   1.893   |       0.742        | -9.000 |   2.000   |   2.000   |   2.000   |   4.000    |                                              |
|       HOUSEWRK_LIM      |  Numerical  |   -0.767  |       0.857        | -8.000 |   -1.000  |   -1.000  |   -1.000  |   2.000    |                                              |
|       HRT_ATT_DIAG      |  Numerical  |   1.963   |       0.229        | -8.000 |   2.000   |   2.000   |   2.000   |   2.000    |                                              |
|        INSUR_COV        |  Numerical  |   1.549   |       0.727        | 1.000  |   1.000   |   1.000   |   2.000   |   3.000    |                                              |
|         JNT_PAIN        |  Numerical  |   1.637   |       0.738        | -8.000 |   1.000   |   2.000   |   2.000   |   2.000    |                                              |
|       LAST_FLU_VAC      |  Numerical  |   2.870   |       3.025        | -8.000 |   1.000   |   2.000   |   6.000   |   6.000    |                                              |
|       LAST_REG_CKP      |  Numerical  |   1.436   |       2.157        | -8.000 |   1.000   |   1.000   |   2.000   |   6.000    |                                              |
|      LOST_ALL_TEETH     |  Numerical  |   1.890   |       0.676        | -8.000 |   2.000   |   2.000   |   2.000   |   2.000    |                                              |
|       MARITAL_STAT      |  Numerical  |   2.762   |       1.885        | 1.000  |   1.000   |   2.000   |   5.000   |   10.000   |                                              |
|       MENTAL_HLTH       |  Numerical  |   2.102   |       1.065        | -8.000 |   1.000   |   2.000   |   3.000   |   5.000    |                                              |
|     MENTAL_HLTH_SCR     |  Numerical  |   43.402  |       21.392       | -9.000 |   38.877  |   51.830  |   57.492  |   75.510   |                                              |
|      MIL_ACTIV_DUTY     |  Numerical  |   2.480   |       0.867        | -9.000 |   2.000   |   2.000   |   2.000   |   4.000    |                                              |
|       MULT_HIGHBP       |  Numerical  |   -0.319  |       1.178        | -9.000 |   -1.000  |   -1.000  |   1.000   |   2.000    |                                              |
|       NON_ENG_LANG      |  Numerical  |   -0.172  |       1.128        | -1.000 |   -1.000  |   -1.000  |   1.000   |   2.000    |                                              |
